1.6310 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
35.6410 	EXP 	New trial (rep=16, index=0): None
35.6431 	DATA 	Keypress: up
35.6527 	EXP 	fixation: autoDraw = False
35.6527 	EXP 	grating: autoDraw = False
35.6527 	EXP 	grating: ori = -4.0
35.6527 	EXP 	fixation: autoDraw = True
36.6529 	EXP 	fixation: autoDraw = False
36.6529 	EXP 	grating: autoDraw = True
36.9527 	EXP 	grating: autoDraw = False
37.3418 	EXP 	New trial (rep=17, index=0): None
37.3438 	DATA 	Keypress: down
37.3526 	EXP 	fixation: autoDraw = False
37.3526 	EXP 	grating: autoDraw = False
37.3526 	EXP 	grating: ori = 4.0
37.3526 	EXP 	fixation: autoDraw = True
38.3527 	EXP 	fixation: autoDraw = False
38.3527 	EXP 	grating: autoDraw = True
38.6528 	EXP 	grating: autoDraw = False
38.9739 	EXP 	New trial (rep=18, index=0): None
38.9759 	DATA 	Keypress: down
38.9861 	EXP 	fixation: autoDraw = False
38.9861 	EXP 	grating: autoDraw = False
38.9861 	EXP 	grating: ori = 1.0
38.9861 	EXP 	fixation: autoDraw = True
39.9862 	EXP 	fixation: autoDraw = False
39.9862 	EXP 	grating: autoDraw = True
40.2859 	EXP 	grating: autoDraw = False
40.3907 	EXP 	New trial (rep=19, index=0): None
40.3926 	DATA 	Keypress: down
40.4028 	EXP 	fixation: autoDraw = False
40.4028 	EXP 	grating: autoDraw = False
40.4028 	EXP 	grating: ori = 0.0
40.4028 	EXP 	fixation: autoDraw = True
41.4028 	EXP 	fixation: autoDraw = False
41.4028 	EXP 	grating: autoDraw = True
41.7025 	EXP 	grating: autoDraw = False
42.1060 	DATA 	Keypress: down
42.1239 	EXP 	New trial (rep=20, index=0): None
42.1359 	EXP 	fixation: autoDraw = False
42.1359 	EXP 	grating: autoDraw = False
42.1359 	EXP 	grating: ori = 0.0
42.1359 	EXP 	fixation: autoDraw = True
43.1358 	EXP 	fixation: autoDraw = False
43.1358 	EXP 	grating: autoDraw = True
43.4359 	EXP 	grating: autoDraw = False
43.8240 	EXP 	New trial (rep=21, index=0): None
43.8258 	DATA 	Keypress: up
43.8358 	EXP 	fixation: autoDraw = False
43.8358 	EXP 	grating: autoDraw = False
43.8358 	EXP 	grating: ori = 2.0
43.8358 	EXP 	fixation: autoDraw = True
44.8364 	EXP 	fixation: autoDraw = False
44.8364 	EXP 	grating: autoDraw = True
45.1359 	EXP 	grating: autoDraw = False
45.6073 	EXP 	New trial (rep=22, index=0): None
45.6092 	DATA 	Keypress: down
45.6190 	EXP 	fixation: autoDraw = False
45.6190 	EXP 	grating: autoDraw = False
45.6190 	EXP 	grating: ori = 1.0
45.6190 	EXP 	fixation: autoDraw = True
46.6193 	EXP 	fixation: autoDraw = False
46.6193 	EXP 	grating: autoDraw = True
46.9192 	EXP 	grating: autoDraw = False
47.4081 	EXP 	New trial (rep=23, index=0): None
47.4099 	DATA 	Keypress: up
47.4191 	EXP 	fixation: autoDraw = False
47.4191 	EXP 	grating: autoDraw = False
47.4191 	EXP 	grating: ori = 4.0
47.4191 	EXP 	fixation: autoDraw = True
48.4193 	EXP 	fixation: autoDraw = False
48.4193 	EXP 	grating: autoDraw = True
48.7189 	EXP 	grating: autoDraw = False
49.6575 	EXP 	New trial (rep=24, index=0): None
49.6593 	DATA 	Keypress: up
49.6690 	EXP 	fixation: autoDraw = False
49.6690 	EXP 	grating: autoDraw = False
49.6690 	EXP 	grating: ori = 0.0
49.6690 	EXP 	fixation: autoDraw = True
50.6691 	EXP 	fixation: autoDraw = False
50.6691 	EXP 	grating: autoDraw = True
50.9691 	EXP 	grating: autoDraw = False
51.7909 	EXP 	New trial (rep=25, index=0): None
51.7928 	DATA 	Keypress: down
51.8024 	EXP 	fixation: autoDraw = False
51.8024 	EXP 	grating: autoDraw = False
51.8024 	EXP 	grating: ori = -2.0
51.8024 	EXP 	fixation: autoDraw = True
52.8024 	EXP 	fixation: autoDraw = False
52.8024 	EXP 	grating: autoDraw = True
53.1024 	EXP 	grating: autoDraw = False
53.7072 	EXP 	New trial (rep=26, index=0): None
53.7091 	DATA 	Keypress: down
53.7190 	EXP 	fixation: autoDraw = False
53.7190 	EXP 	grating: autoDraw = False
53.7190 	EXP 	grating: ori = 0.0
53.7190 	EXP 	fixation: autoDraw = True
54.7190 	EXP 	fixation: autoDraw = False
54.7190 	EXP 	grating: autoDraw = True
55.0190 	EXP 	grating: autoDraw = False
55.4904 	EXP 	New trial (rep=27, index=0): None
55.4926 	DATA 	Keypress: down
55.5023 	EXP 	fixation: autoDraw = False
55.5023 	EXP 	grating: autoDraw = False
55.5023 	EXP 	grating: ori = 0.0
55.5023 	EXP 	fixation: autoDraw = True
56.5022 	EXP 	fixation: autoDraw = False
56.5022 	EXP 	grating: autoDraw = True
56.8022 	EXP 	grating: autoDraw = False
57.0242 	EXP 	New trial (rep=28, index=0): None
57.0262 	DATA 	Keypress: down
57.0356 	EXP 	fixation: autoDraw = False
57.0356 	EXP 	grating: autoDraw = False
57.0356 	EXP 	grating: ori = 0.0
57.0356 	EXP 	fixation: autoDraw = True
58.0356 	EXP 	fixation: autoDraw = False
58.0356 	EXP 	grating: autoDraw = True
58.3362 	EXP 	grating: autoDraw = False
58.6545 	DATA 	Keypress: down
58.6735 	EXP 	New trial (rep=29, index=0): None
58.6855 	EXP 	fixation: autoDraw = False
58.6855 	EXP 	grating: autoDraw = False
58.6855 	EXP 	grating: ori = 0.0
58.6855 	EXP 	fixation: autoDraw = True
59.6857 	EXP 	fixation: autoDraw = False
59.6857 	EXP 	grating: autoDraw = True
59.9859 	EXP 	grating: autoDraw = False
60.1736 	EXP 	New trial (rep=30, index=0): None
60.1756 	DATA 	Keypress: down
60.1856 	EXP 	fixation: autoDraw = False
60.1856 	EXP 	grating: autoDraw = False
60.1856 	EXP 	grating: ori = 0.0
60.1856 	EXP 	fixation: autoDraw = True
61.1860 	EXP 	fixation: autoDraw = False
61.1860 	EXP 	grating: autoDraw = True
