trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
52,0,52,0,96.56820239999797,97.5682272000704,97.5682272000704,up,0,0.5001268000341952,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
53,0,53,0,98.08503009995911,99.08505350002088,99.08505350002088,up,1,0.45081999991089106,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
54,0,54,0,99.56817420001607,100.56821020005737,100.56821020005737,up,1,0.5268054000334814,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
55,0,55,0,101.11811829998624,102.11824740003794,102.11824740003794,down,1,0.6586222999030724,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
56,0,56,0,102.8015106000239,103.80154030001722,103.80154030001722,up,1,0.5448285000165924,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
57,0,57,0,104.36804800003301,105.36800100002438,105.36800100002438,down,1,0.6615422000177205,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
58,0,58,0,106.05143460002728,107.05164910003077,107.05164910003077,up,0,0.5971100000897422,-3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
59,0,59,0,107.66802129999269,108.66797069995664,108.66797069995664,up,0,0.7502427999861538,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
60,0,60,0,109.43480729998555,110.43491499999072,110.43491499999072,up,0,0.892241399968043,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
61,0,61,0,111.35132829996292,112.35132270003669,112.35132270003669,up,0,0.7368766000727192,2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
62,0,62,0,113.11803470004816,114.11806540004909,114.11806540004909,up,0,0.6075196000747383,-2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
63,0,63,0,114.75132679997478,115.75143659999594,115.75143659999594,up,1,0.4080231999978423,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
64,0,64,0,116.18463440006599,117.18472470005509,117.18472470005509,up,0,0.6348446999909356,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
65,0,65,0,117.85144720005337,118.85144390002824,118.85144390002824,up,0,1.3042151000117883,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
66,0,66,0,120.18459479999729,121.18452100001741,121.18452100001741,up,1,0.5215067000826821,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
67,0,67,0,121.73461629997473,122.73471350001637,122.73471350001637,up,1,0.6996383001096547,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
68,0,68,0,123.4511416000314,124.45110249996651,124.45110249996651,up,1,0.36575290001928806,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
69,0,69,0,124.83435739995912,125.8347810000414,125.8347810000414,up,0,0.46953250002115965,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
70,0,70,0,126.33454740000889,127.33455779997166,127.33455779997166,up,0,0.696724500041455,-3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
71,0,71,0,128.0511435000226,129.05115499999374,129.05115499999374,up,0,0.5218609999865294,2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
72,0,72,0,129.6009240000276,130.60096129996236,130.60096129996236,down,1,0.6301234000129625,-2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
73,0,73,0,131.25105730001815,132.25117080006748,132.25117080006748,down,0,0.5146028000162914,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
74,0,74,0,132.78441480000038,133.78430850000586,133.78430850000586,down,0,0.3976586000062525,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
75,0,75,0,134.2011172999628,135.2011185999727,135.2011185999727,down,1,0.41867879999335855,-2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
76,0,76,0,135.65103139996063,136.6510219000047,136.6510219000047,down,0,0.3573863999918103,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
77,0,77,0,137.0344070000574,138.03437949996442,138.03437949996442,down,1,0.7114864999894053,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
78,0,78,0,138.76755400002003,139.76763420004863,139.76763420004863,up,0,0.5946807999862358,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
79,0,79,0,140.38414450001437,141.38425550004467,141.38425550004467,down,0,0.6831942000426352,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
80,0,80,0,142.08409939997364,143.08440050005447,143.08440050005447,down,1,0.6235467999940738,-3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
81,0,81,0,143.73415579996072,144.73403829999734,144.73403829999734,down,1,0.6027045000810176,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
82,0,82,0,145.36745030002203,146.36735029995907,146.36735029995907,down,1,0.7670783000066876,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
83,0,83,0,147.15091419999953,148.15084859996568,148.15084859996568,down,0,0.9234392999205738,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
84,0,84,0,149.10074630007148,150.10080170002766,150.10080170002766,down,1,0.9324231999926269,2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
85,0,85,0,151.05075910000596,152.05068490002304,152.05068490002304,up,0,0.9250086999963969,4,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
86,0,86,0,153.00061460002325,154.0008453000337,154.0008453000337,down,1,0.6291199000552297,-5,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
87,0,87,0,154.65061720006634,155.65064230002463,155.65064230002463,down,1,0.4131791000254452,-3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
88,0,88,0,156.08391829999164,157.0839641999919,157.0839641999919,down,0,0.4908568999962881,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
89,0,89,0,157.60044069995638,158.60053699999116,158.60053699999116,up,1,1.087165900040418,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
90,0,90,0,159.71708550001495,160.71701310004573,160.71701310004573,down,1,0.7343582999892533,-5,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
91,0,91,0,161.48381450003944,162.48375750007108,162.48375750007108,down,1,0.44826380000449717,2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
92,0,92,0,162.95037540001795,163.9504023999907,163.9504023999907,up,0,0.394161400035955,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
93,0,93,0,164.3670356000075,165.367177200038,165.367177200038,up,1,0.518452399992384,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
94,0,94,0,165.91694490006194,166.9170945000369,166.9170945000369,up,0,0.35028220003005117,3,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
95,0,95,0,167.2837604000233,168.2836575000547,168.2836575000547,up,0,0.3720370000228286,-2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
96,0,96,0,168.6836265999591,169.68360760004725,169.68360760004725,up,1,0.8184001999907196,0,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
97,0,97,0,170.53380560001824,171.53372900001705,171.53372900001705,up,0,0.531724700005725,-2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
98,0,98,0,172.0834460000042,173.08365589997265,173.08365589997265,down,1,0.6285395000595599,2,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
99,0,99,0,173.73366010002792,174.73350319999736,174.73350319999736,up,0,0.5745708000613376,1,411431,001,2022-09-15_15h57.07.799,untitled,2022.2.4,60.03882108978438,
